Place,Developer,Summary,Price,Sqft
1 BHK Apartment for Sale in Besant Nagar Chennai,Kgeyes Vruksha,"Besant Nagar, Prime location, near temple, 1 spacious BHK, with covered car park, CCTV, lift, security, high quality water supply 247, close proximity to shopping areas, hotels, bus stops, provision stores, etc.Suitable for small family.This two bedroom for sale comes with an affordable price tag of just 80 Lakhs rupees with an additional perk of paying no brokerage. This North facing home is over 640 sqft.  is in a convenient location. Situated on the 2nd floor this home can comfortably serve your parking facility for car needs.Read more", 80 Lac," 12,500 per sqft"
3 BHK Apartment for Sale in Porur Chennai,N/a,N/a, 91.2 Lac," 6,299 per sqft"
3 BHK Villa for Sale in Oragadam Chennai,N/a,"Indulge in luxury living with our exquisite 3 BHK Villa for sale in Oragadam, Chennai. This stunning property offers a harmonious blend of contemporary design, spacious interiors, and top-notch amenities. Enjoy the comfort of Oragadam, a prime location with excellent connectivity to the city. Relax in the lush garden, host gatherings in the open living spaces, and relish the delight of owning your dream villa. ::::::This is your chance to elevate your lifestyle to new heights. Don't miss out ?·seize this opportunity to call this villa your own and live in ultimate comfort and style.::::::Property Specifications and Facilities ::::::An architectural masterpiece, this villa is a harmonious blend of luxury, style, and comfort. Boasting a carpet area of 780 sq ft, this immaculate property is perfect for those who crave a life of opulence. As you step inside, you'll be welcomed by the spacious unfurnished interior that serves as a canvas for your creativity and personal touch. The villa features three exquisite bedrooms and three well-appointed bathrooms that provide both privacy and convenience.::::::The open, sun-kissed balcony overlooks the bustling main road, offering a panoramic view of the surroundings. The kitchen is a culinary enthusiast's dream, with a granite platform and stainless steel sink, making meal preparation a joy. Ceramic tiles underfoot add to the charm of this villa. Moreover, this villa comes with an open space for your vehicle, ensuring both security and convenience. It's designed for a life of convenience and luxury with a 24-hour water supply and 100% power backup facility, making sure you never experience any inconvenience.::::::Locality ::::::This property is not just a residence; it's a gateway to a world of convenience and connectivity. Located in a prime area, it offers easy access to various amenities such as prominent schools, noted hospitals, clinics, and nursing homes. Moreover, there are also several prestigious shopping malls, supermarkets, grocery stores, and leading banks as well as ATM centers. Also, commuting to the different destinations is easy as the railway station and metro station are close by, while the major means of roadways such as buses, cabs, and taxis are within a stone's throw.Read more", 52 Lac," 5,778 per sqft"
3 BHK Apartment for Sale in Krishnaveni Nagar Medavakkam Chennai,Casagrand Zenith,"Video of the unit available upon request  This East facing 3BHK 3T is located on the 7th out of 14 floor, north east corner of the phase 2, C Block.  The built up area is 1466 sq.ft and carpet area is 977 sq.ft  This property is under construction and expected to be handed over by  Casagrand between January - March 2024.  This is project is located in Vengaivasal behind Navins Starwood. This is Chennais first wellness community loaded with 20  wellness amenities.  Comes with one balcony facing the podium, Rain water infused showers, Air purifier for the master bedroom and 2 covered car parking.Read more", 1 Cr," 7,367 per sqft"
2 BHK Apartment for Sale in Perumbakkam Chennai,Urban Tree Oxygen,N/a, 51.7 Lac," 6,051 per sqft"
3 BHK Apartment for Sale in Kelambakkam Chennai,Sobha Meritta,N/a, 1.17 Cr," 7,532 per sqft"
3 BHK Apartment for Sale in Nandivaram Guduvancheri Chennai,Featherlite Vaikuntam,N/a, 79.9 Lac," 6,296 per sqft"
3 BHK Apartment for Sale in Kolathur Chennai,KR Teacher colony,N/a, 86.9 Lac," 5,431 per sqft"
2 BHK Apartment for Sale in Velachery Chennai,Vasanth Apartment,"Multistorey apartment is available for sale. It has carpet area of 760 sq-ft, it is a good location property. Please contact for more details.Read more", 70 Lac,N/a
2 BHK Apartment for Sale in Padapai Chennai,Arun Excello Saranga,N/a, 28.2 Lac," 4,511 per sqft"
2 BHK Apartment for Sale in Madipakkam Chennai,Madipakkam,"Looking for a luxurious living space that ticks all the boxes Look no further than this stunning 2 BHK flat up for sale in the exclusive neighbourhood of Madipakkam, Chennai. Featuring a prime location, this flat is the ultimate dream home youve been searching for. Get ready to experience a life of pure indulgence and luxury that exceeds all your expectations.Note The property is under construction with a possession date set as July 2023.Property SpecificationsPerched on the second floor of a 3-storey building, this exquisitely designed flat exudes luxury and spans an impressive super built-up area of 896 sq ft. By leveraging the power of Vaastu principles, this flat cultivates growth and prosperity as it is perfectly positioned to face the propitious east direction, bringing in lots of positive vibes along with fresh air and daylight.Step into this abode and be mesmerized by the gorgeous living and dining space, two bedrooms, and two bathrooms. Experience the luxury of having one attached bathroom and one common bathroom, both showcasing a chic and sophisticated Western-style layout that exudes refinement. And, keeping your comfort in mind, the bathrooms are fixed with premium geyser switches, allowing you to plug in your own geyser and enjoy hot water shower whenever you desire. The living room is aligned with a lovely balcony that offers stunning views of the main road.You can cook like a pro in this flats kitchen thats equipped with everything you need to prepare delicious meals. From a durable granite platform to a stainless sink, youll have all the essentials at your fingertips Furthermore, the vitrified flooring perfectly fuses style and practicality. With its easy-to-clean surface and long-lasting durability, youll be able to enjoy this stunning flooring for years to come.FacilitiesMake the most of your stay with amenities like lift, power backup, covered parking and 24-hour water supply.  Also, safety of residents is ensured by having surveillance cameras and security personnel in place.LocalityThis premium property situated just 1 Km away from Velachery station, offers a blend of luxury and convenience. From reputed schools to supermarkets and hospitals, everything you need is just 500m away. And with banks and ATMs just a stones throw away, managing your finances has never been more effortless. Plus, you will find plenty of buses and autos on the Velachery main road that can be accessed in 500m to commute within city. Dont settle for anything less than the finest - make this exceptional property your new home todayRead more", 58 Lac," 7,071 per sqft"
3 BHK Apartment for Sale in Tambaram West Tambaram Chennai,Marutham Heritage,"Multistorey apartment is available for sale. It has covered area of 1397 sq-ft, it is a good location property. Please contact for more details.Read more", 59.8 Lac," 4,653 per sqft"
2 BHK  House for Sale in Nehru Nagar Chromepet Chennai,N/a,N/a, 3.48 Cr," 28,462 per sqft"
1 BHK Apartment for Sale in Mambakkam Sriperumbudur Chennai,DABC Acacia Township,It is a beautiful and lucky property i purchased way back in 2011.. Now that i had to leave to USA with my son i am looking for a prospective buyer to handover my lucky property for 24Lacs..Read more, 21.6 Lac," 3,704 per sqft"
2 BHK Apartment for Sale in Pallikaranai Chennai,Ruby Pride,2 BHK - Sq.Ft 1007  North Facing and Vaasthu Compliant  Covered Car park Included. UDS 725ft  Built and Bought in 2016Read more, 66 Lac," 6,554 per sqft"
9 BHK  House for Sale in Kelambakkam Chennai,N/a,this is like appartment total house count is 8 and all house are occupied tenant we are getting 50k to 80k and if u planning for hostel this is right choice...all bank loan is available..Read more, 1.29 Cr,N/a
3 BHK  House for Sale in Pattur Chennai,N/a,"Welcome to this exquisite newly constructed 3 BHK residential house, a true gem nestled in the vibrant heart of Pattur, Chennai. This property offers an exceptional blend of modern living and convenience, making it an ideal choice for those seeking a comfortable and stylish home in a prime location.::::::Property specifications::::::::::::This immaculate residence boasts a carpet area of 1200 sqft, providing ample space for your family to live and grow. Situated on the ground floor of a well-designed building, this house offers easy accessibility and is part of a single-storey structure. It is presented unfurnished, allowing you the freedom to personalize your living space according to your tastes and preferences.::::::The house comprises three spacious bedrooms, offering privacy and comfort to each member of the family. Two well-appointed bathrooms ensure convenience, while a delightful balcony adds a touch of serenity and outdoor charm to the property. The kitchen, designed with functionality in mind, is equipped with modern amenities and features, making meal preparation a breeze. Additionally, there is a utility area attached to the kitchen, enhancing your daily living experience.::::::The flooring of this house is adorned with elegant vitrified tiles, creating a stylish and easy-to-maintain surface. Furthermore, this property is Vaastu compliant, assuring harmony and positive energy flow within the living space. It is conveniently south-facing, optimizing natural light and ventilation, ensuring a comfortable and welcoming atmosphere.::::::Facilities::::::::Parking will never be a concern, as this house offers a covered parking space, safeguarding your vehicle from the elements. The property also benefits from 24-hour water supply, ensuring you have access to water whenever you need it, without any disruptions.::::::Locality::::::::::::Situated near the prominent Pattur Bus Stop, this property enjoys excellent connectivity, making commuting a breeze. Within a 1 km radius, you'll find reputed schools and hospitals, providing top-notch education and healthcare services for your family. If you enjoy shopping, you'll be delighted to know that malls and supermarkets are also within a 1 km radius, making your daily errands and leisure activities convenient.::::::Banks and ATMs are close by, ensuring financial transactions are hassle-free and easily accessible. Public transportation options are readily available, simplifying your daily commute. Moreover, there's an upcoming metro station just 3 km away, promising even greater connectivity and convenience in the near future.::Read more", 1.20 Cr," 5,698 per sqft"
1 BHK  House for Sale in Perambur Chennai,N/a,A residential house is available for sale. It is a good location property. Please contact for more details.Read more, 72.9 Lac," 8,911 per sqft"
2 BHK Apartment for Sale in Guduvancheri Chennai,Antonys Tremain,"::Discover a world of contemporary living with this inviting 2 BHK flat available for sale in the prestigious Antonys Tremain, Guduvancheri, Chennai. Enjoy the perfect blend of modern amenities and comfort in this well-appointed residential space, ideal for families and individuals seeking a convenient living experience.::::::Property Specifications ::::::Step into a world of simple elegance and charm with this 792 sqft unfurnished flat located in a peaceful residential neighborhood. This property is vaastu compliant, assuring a harmonious and positive living experience. With its convenient location and comfortable living space, this flat is an ideal choice for individuals or families seeking a peaceful yet accessible residential setting.::::::Offering a cozy living space with 1 attached bathroom and 1 common bathroom, both equipped with modern western amenities, this flat promises a comfortable and convenient lifestyle. Enjoy the luxury of a private balcony that offers serene views of lush greenery, creating a tranquil atmosphere for relaxation. The living cum dining area provides a spacious setting for entertaining guests or spending quality time with your family.::::::The kitchen is equipped with an efficient exhaust fan, ensuring a well-ventilated cooking environment. The utility area is an added convenience, providing ample space for storage and other activities. The flooring is adorned with sleek tiles, adding a touch of modernity to the interiors. ::::::Facilities ::::::This property provides covered parking dedicated to bikes and ensures uninterrupted water supply throughout the day. The installation of CCTV cameras enhances security measures, ensuring the safety of the premises. ::::::Locality ::::::The area is surrounded by various social facilities, making essential services easily accessible for residents. With efficient public transport available nearby, commuting becomes convenient and hassle-free.::::Read more", 30 Lac," 3,788 per sqft"
1 BHK Apartment for Sale in Thirumazhisai Chennai,Vijay Raja Ideal Homes,"Up for sale is a 1 BHK apartment in the prime residential area of Thirumazhisai, Chennai. This property is in one of the well-known projects named ??ijay Raja Ideal Homes?·and is pretty new with the age of construction less than 5 years. Perfect for a nuclear family, this property is worthy of your time and money invested.::::::Property Specifications::::::Spanning across a carpet area of 224 sqft, this 1 BHK apartment offers a cozy living space with meticulous attention to detail. Situated on the first floor of a three-storey building, this flat comes semi-furnished, complete with wardrobes that add a touch of convenience to your daily life.::::::Moving to the layout, the flat comprises one well-designed bedroom, offering a comfortable retreat. The flat has a Western-style common bathroom fitted with a geyser and the living room is thoughtfully designed, creating an inviting atmosphere for relaxation and socializing. ::::::The kitchen itself is practical and functional, making daily meal preparations a breeze. It also includes a utility area for added convenience. Additionally, there is a balcony attached to the kitchen, enhancing the space's charm and providing a perfect spot to unwind.::::::The flooring is elegantly finished with vitrified tiles, adding a touch of sophistication to the interiors. Furthermore, the property is Vaastu compliant and south-facing, ensuring positive energy and a pleasant ambiance.::::::Facilities::::::The property benefits from open parking and the convenience of 24-hour water supply, ensuring your daily needs are met without interruption. With 100% power backup, you can enjoy a seamless lifestyle. Safety is a priority with a security guard on-site, complemented by CCTV installations for added protection. Additionally, there's a lift for easy access within the building.::::::Locality::::::This property enjoys a prime location with schools, hospitals, malls/supermarkets, and banks/ATMs in close proximity. Public transport options are easily accessible, with buses and autos readily available. Plus, the railway station is just 2 kilometers away, enhancing your connectivity options. Overall, considering this property to reside with your loved ones is certainly worth it.::Read more", 16 Lac," 3,855 per sqft"
2 BHK Apartment for Sale in Keelkattalai Chennai,N/a,N/a, 68.3 Lac," 8,333 per sqft"
4 BHK Apartment for Sale in T Nagar Chennai,Lifestyle Podium,N/a, 7.50 Cr," 20,375 per sqft"
3 BHK Villa for Sale in Chengalpattu Chennai,Avigna Happy Valley,Maharishi International School inside the compound and its gated community with security. Its Semi VillaRead more, 59.5 Lac," 2,479 per sqft"
3 BHK Villa for Sale in East Coast Road Chennai,N/a,"Built for today's buyers embedding the modern elegance, this well-constructed 3BHK Villa is available for sale. Located in East Coast Road, Chennai, this dwelling is brilliantly designed and housed in a peaceful area.::::::Note - Its part of a gated community::::::Property Specifications::::::This villa is designed in accordance with vaastu principles to bestow the residents with a prosperous life. Every minute detail in this villa has been carefully crafted with a perfect utilization of the available space. It is quite spacious and is partially-furnished, therefore, the residents can customise the rooms as per their choice. ::::::The ground floor is inclusive of 1 TV room, 1 dining area, 1 bedroom, 2 bathrooms with western toilets (1 attached & 1 common), 1 living room, 1 modular kitchen and 1 pooja room. The first floor features 2 bedrooms with walk-in wardrobes, 2 attached bathrooms with western toilets and 1 balcony linked to master bedroom. Further, Italian marble floorings enhance the overall look of this villa. There are wardrobes and ACs available in all the rooms.::::::Facilities::::::Basic and prime facilities like water supply 24/7, 100% power backup, 1 open parking, 1 covered parking, CCTV cameras and security guards are available.::::::Locality::::::The location offers wonderful access to surrounding areas and social amenities. One can conveniently commute from one place to another, as various modes of public transport service are easily available. The property is 3km distance from banks, ATMs, malls, supermarkets, hospitals and schools. Also, it is part of 16 screen cineplex.Read more", 2.44 Cr," 8,331 per sqft"
2 BHK Apartment for Sale in Medavakkam Chennai,Casa Grande Zenith Phase II,N/a, 62 Lac," 7,801 per sqft"
2 BHK Apartment for Sale in Padur Chennai,Urbanise Revolution One,"Newly constructed 2 BHK flat in Urbanrise Padur project. Gated community with 35 plus amenities. The housing society is near to school, college, medical, shopping centers and just 5 minutes distance to Siruseri IT park.Read more", 38 Lac," 5,837 per sqft"
2 BHK  House for Sale in Sivanthangal Sriperumbudur Chennai,N/a,"With children play zone available in this home, you will always have something to do here. If you are looking for a home with intercom facility  security, this home is just right for you. With premium amenities such as rainwater harvesting, visitor parking, waste treatment plant  house keeping this home provides you with many added benefits.Access to bus station  medical stores is very easy  convenient from this house.With Hayagriva Vidhyashram School, Kshetra Vidyala and Rajalakshmi college of Nursing close to this home, you be able to provide your children with many options.Read more", 34.2 Lac," 2,815 per sqft"
2 BHK  House for Sale in Guduvancheri Chennai,N/a,A residential house is available for sale. It is a good location property. Please contact for more details.Read more, 47.5 Lac," 4,922 per sqft"
5 BHK  House for Sale in Anakaputhur Chennai,N/a,N/a, 1 Cr," 5,000 per sqft"
2 BHK Apartment for Sale in Kelambakkam Chennai,Akshaya Today,"Discover comfortable living in the heart of Kelambakkam, Chennai, with this inviting 2 BHK flat now available for sale in Akshaya Today. Spanning a super built-up area of 986 square feet on the 2nd floor of a 15-story building, this south-facing unit is thoughtfully designed with Vaastu compliance in mind.Property specifications and facilitiesThe flat is unfurnished, featuring 2 bedrooms and 2 bathrooms 1 attached and 1 common, with both bathrooms equipped with Western fixtures and geyser points. A balcony attached to the hall offers serene views of the park, and the living-cum-dining area provides a spacious layout. The kitchen is well-appointed with a piped gas connection included in the project and an attached utility area. The flooring is adorned with elegant vitrified tiles.The property comes with an array of facilities, including both covered and open parking, 24-hour water supply, 100 power backup, security guards, CCTV surveillance, and 2 lifts for added convenience. The project spans an expansive 12 acres and offers amenities like a swimming pool, clubhouse, rainwater harvesting, security, water storage, maintenance staff, laundry service, kids club, kids play area, and fire fighting equipment.LocalityThe locality is well-connected, situated on the Kelambakkam Thiruporur main road. Nearby, youll find schools, with Chettinad Hospital just 2 kilometers away. Supermarkets and malls are within a 5-kilometer radius, making daily shopping effortless.Public transportation is readily available, with the Kelambakkam bus stand nearby, and banksATMs are conveniently located. Tambaram Railway Station is 8 kilometers away, and an upcoming metro station is just 2 kilometers from the property. OMR is easily accessible, and the property is adjacent to ECR road, adding to its connectivity and accessibility.Read more", 38.1 Lac," 4,158 per sqft"
2 BHK Apartment for Sale in Kolathur Chennai,N/a,"Multistorey apartment is available for sale. It has covered area of 911 sq-ft, it is a good location property. Please contact for more details.Read more", 59 Lac," 6,556 per sqft"
3 BHK Apartment for Sale in Perungudi Chennai,DOSHI ETOPIA II,"Multistorey apartment is available for sale. It covered area of 1400 sq-ft, it is a good location property. Please contact for more details.Read more", 96 Lac," 7,500 per sqft"
2 BHK Apartment for Sale in Ponmar Chennai,Subhamangala Nagar,N/a, 45 Lac," 4,455 per sqft"
2 BHK  House for Sale in Chromepet Chennai,JK Homes,N/a, 40 Lac," 5,714 per sqft"
2 BHK Builder Floor for Sale in Goparasanallur Chennai,N/a,"Embark on a journey to find your dream home with our exclusive offering-a stunning 2 BHK Builder Floor For Sale in the heart of Goparasanallur, Kattupakkam, Chennai. Step into a realm of contemporary living where comfort and style converge to create the perfect abode for you.::::::::::::Property Specifications::::::::::::Indulge in modern living with this exquisite 2 BHK Builder Floor spanning a comfortable 750 sqft of carpet area. Situated on the second floor of a two-story building, the property offers a seamless blend of space and style, providing the perfect canvas for your lifestyle.::::::::::::Step into a semi-furnished haven where two well-appointed bedrooms come complete with cupboards, ensuring ample storage. The convenience of two bathrooms, one attached and one common, both Western-style, adds to the practicality. Enjoy the luxury of a balcony, attached to the hall and overlooking the main road, offering a refreshing view.::::::::::::The living and dining areas, thoughtfully designed in an L-shaped layout, provide separate spaces for relaxation and entertainment. The kitchen, with its functional design, is equipped for everyday culinary endeavors. Vitrified flooring, vaastu compliance, and a North-facing orientation enhance the appeal of this space.::::::::::::Convenience meets aesthetics with fitted lights and fans, ensuring a comfortable ambiance. This property invites you to experience contemporary living at its finest, combining functionality with a touch of elegance.::::::::::::Facilities ::::::::::::Elevate your living experience with a host of premium facilities designed to enhance your comfort and security. Benefit from the convenience of covered parking, providing shelter for your vehicle in all weather conditions. Embrace uninterrupted daily living with 24 hours of water supply, ensuring your needs are seamlessly met. Your safety is our priority, with the installation of CCTV cameras offering vigilant surveillance around the clock. ::::::::::::Locality ::::::::::::Discover the unparalleled convenience of this locality, strategically located near the Kattupakkam EB office. Within a radius of 500 meters, you'll find esteemed schools, ensuring quality education at your doorstep. Access to healthcare is a breeze with hospitals within the same radius, providing peace of mind for residents.::::::::::::Enjoy the ease of shopping with malls and supermarkets also conveniently situated within 500 meters, catering to your daily needs. Seamless connectivity is guaranteed with readily available public transport options, facilitating easy commutes. Manage your finances effortlessly, as banks and ATMs are in close proximity.::::::::::::Anticipate future ease of travel with an upcoming metro station just 500 meters away, promising swift and efficient transportation.Read more", 50.1 Lac," 6,250 per sqft"
3 BHK Apartment for Sale in Anna Nagar Chennai,N/a,"Embark on a journey to discover your dream home with this exclusive opportunity. Presenting a charming 3 BHK flat for sale in the heart of Anna Nagar, Chennai. Step into a residence that blends comfort and sophistication seamlessly, offering a living space crafted for modern lifestyles.::::::::::::Property Specifications::::::::::::Introducing a delightful 3 BHK flat boasting a comfortable carpet area of 1117 sqft. This semi-furnished abode is nestled on the 2nd floor of a 4-floor building, offering a perfect blend of space and style.::::::::::::The flat features three bedrooms, each adorned with wardrobes and a study table, adding a touch of convenience and functionality. Enjoy the luxury of two well-designed bathrooms, one attached and one common, both featuring contemporary Western amenities. A balcony, attached to the master bedroom, provides a tranquil view overlooking other buildings.::::::::::::The living cum dining area is thoughtfully designed, offering a versatile space for family gatherings and daily activities. The kitchen is a modern delight, featuring a modular layout and a chimney for added convenience. A utility area is available, enhancing the practicality of daily chores. Revel in the elegance of vitrified flooring throughout, creating a sleek and modern ambiance. This residence is not just a flat; it's an invitation to a lifestyle where comfort meets style.::::::::::::Facilities ::::::::::::The property comes with the convenience of one covered parking space for your vehicle. Enjoy uninterrupted living with 24-hour water supply, ensuring water is readily available for all your daily needs. Security is a top priority, with the presence of a dedicated security guard and CCTV installations, providing a safe and secure environment for you and your family. Additionally, the property features one lift, enhancing accessibility within the building. ::::::::::::Locality ::::::::::::Situated in the vibrant locality of Anna Nagar, Chennai, this 3 BHK flat enjoys a neighborhood that caters to every aspect of daily life. Reputable schools nearby ensure easy access to quality education for your children. Healthcare facilities are readily available, with hospitals in close proximity for immediate medical assistance.::::::::::::The convenience of nearby malls and supermarkets adds to the overall ease of living, providing access to a range of shopping and daily essentials. Public transport is easily accessible, with buses and autos readily available, ensuring seamless commuting for your daily activities.::::::::::::Financial convenience is assured with banks and ATMs in close proximity, streamlining your daily operations. The Anna Nagar locality is well-connected, with the railway station and metro station both within a 3-kilometer radius, offering efficient modes of transportation for both regional and city-wide travel.Read more", 1.25 Cr," 10,000 per sqft"
2 BHK Apartment for Sale in Manapakkam Chennai,Mukthi Apartment,"Ground Floor apartment in an excellent residential community. North-East Vastu, an excellent residential society with apartments and homes.Read more", 52 Lac,N/a
4 BHK  House for Sale in Akkarai Chennai,N/a,"akkarai,kart attack 3.7 ground land area, beautiful well maintained bungalow  5500 sft with garden cmda approved 100 percent vasthu price 4.75crRead more", 4.75 Cr," 9,500 per sqft"
2 BHK  House for Sale in Nanmangalam Manikandan Nagar Chennai,N/a,"Independent house for sale in Nanmangalam, 2400 Sqft, North facing, Good ground water facility, 2BHK, Covered car parking, CMDA Approved, Located in good location..Read more", 1.25 Cr," 5,208 per sqft"
2 BHK Apartment for Sale in Paraniputhur Chennai,N/a,"Harmony at TVS Emerald Premium lowrise residences in Porur.Living in a harmonious balance, with nature and oneself. Isnt that the dreamA space where the professional and personal can coexist A space where your wellbeing is a top priorityHarmony at TVS Emerald Green Enclave invites you to live anew, in a space that encourages you to engage with nature. These lowrise residences are designed for those who are seeking something different. Those who care about being present every minute.Harmony at TVS Emerald Green Enclave has been designed to offer you all the perks of a gated commRead more", 57.5 Lac," 10,686 per sqft"
3 BHK Apartment for Sale in East Abhiramapuram Chennai,N/a,"Spacious, well maintained house in a good locality", 2.15 Cr,N/a
2 BHK Builder Floor for Sale in Kanathur Chennai,N/a,"2 BHK flat in ECR, Kanathur, beach side, near to main road, surrounded by Shops, School, College and Hospitals.Read more", 62 Lac," 5,616 per sqft"
1 BHK Apartment for Sale in Kattupakkam Chennai,SKR Sun Bright Garden,"1 BHK, Multistorey Apartment is available for Sale in Kattupakkam, Chennai for 85.0 Lac(s)Read more", 77.4 Lac,N/a
2 BHK Apartment for Sale in Iyyappanthangal Chennai,N/a,"Bridging the gap between convenience and luxury with this perfect 2BHK apartment, a lifestyle tailor-made to fit your highest standards. This property is available for sale in Iyyappanthangal, Chennai.Property SpecificationsThe quality construction, appealing interiors and splendid location make this apartment an apt dwelling for todays family. This property is benefited with the complete rights of freehold ownership where the buyer is not subject to any extra charges. All rooms are blessed with immense natural light and the smooth flow of soft breeze across every nook of the house is simply amazing. With a super area of 978sqft, the property is located on the 2nd-floor and includes 2 bedrooms, 2 bathrooms, 1 balcony, 1 living cum dining area and 1 kitchen with utility area. The flooring is excellently done using long-lasting vitrified tiles to give a pristine look and long-term durability. The property is built as per vaastu norms and faces the west direction.Both the attached bathrooms have western toilets and provision for geysers. One of the bedroom has a balcony that looks out onto the street. Due to the presence of an exhaust fan provision, sink, and cooking platform, cooking is made incredibly simple and convenient. FacilitiesIn terms of facilities, there is 1 covered parking, power backup, water supply, security guards, CCTV cameras and 1 lift.LocalityThe locality has gained popularity because of the developed surroundings and sound road connectivity. Various modes of public transport like autos, taxis and local buses are nearby. One can find banks, ATMs, malls, supermarkets, malls, schools, hospitals, etc within the vicinity of 1km. The property is 2km from the upcoming metro station and 4-5km away from Porur Railway Station.Read more", 61 Lac," 6,237 per sqft"
2 BHK  House for Sale in Tambaram Chennai,N/a,"2 BHK, Residential House is available for Sale in Tambaram, Chennai for 65.0 Lac(s)Read more", 65 Lac," 7,222 per sqft"
5 BHK  House for Sale in Vinayakapuram Lakshmipuram Chennai,N/a,"Luxuriate in comfort and space with this impeccable 5 BHK residential house for sale in the serene Vinayakapuram Lakshmipuram, Chennai.Property Specifications Enjoy space and comfort within this fully furnished property, spanning an expansive super built-up area of 3000 sqft. Aligning with vaastu principles, the property is oriented towards the east, ensuring positive energy flow and harmony. The ground floor accommodates two 1 BHK units, providing ample space for a comfortable lifestyle. Moving to the first floor, you'll find a blend of a 2 BHK unit and an additional 1 BHK unit, each exuding an inviting ambiance. The second floor offers a cozy and functional RK unit, perfect for individuals seeking a compact living space.The property features a practical and well-equipped kitchen that seamlessly integrates with an attached utility area, ensuring convenience and ease of living. The flooring throughout the property harmoniously combines the elegance of vitrified tiles with the durability and sophistication of granite, adding a touch of luxury to the living space. Facilities Covered parking and open parking are available, providing convenient options for residents' vehicles. The property ensures an uninterrupted water supply, and although there isn't a full-fledged 100% power backup facility, electrical points are available. Locality Located near the Touch Sky International Play School, the property offers easy access to various amenities such as hospitals, malls, supermarkets, and public transportation, all within a 1 km radius. Banks and ATMs are also conveniently close by, contributing to the overall accessibility and convenience of the location. The nearest railway station is situated approximately 4 km away from the property.Read more", 1.53 Cr," 5,500 per sqft"
4 BHK  House for Sale in Ponmar Chennai,N/a,"4 BHK, Residential House is available for Sale in Ponmar, Chennai for 1.1 Crore(s)Read more", 1.10 Cr," 5,288 per sqft"
2 BHK Apartment for Sale in Alapakkam Karpaga Vinayagar Colony Chennai,N/a,"Explore this modern 2 BHK flat nestled in Alapakkam's Karpaga Vinayagar Colony, Chennai. Enjoy the benefits of a property less than 5 years old, offering freehold ownership and presenting an incredible investment opportunity.Property Specifications This property is designed with vaastu compliance and east-facing orientation, offering a super area of 880 square feet and a UDS (Undivided Share) of 537 square feet. Situated on the ground floor of a single-floor building, this semi-furnished space is equipped with wardrobes, ensuring convenience and comfort.Comprising two bedrooms, one attached and one common bathroom, this residence accommodates both Indian and Western style bathrooms for versatile preferences. The living and dining area provides a spacious setting for relaxation and entertainment, while the furnished kitchen, equipped with a chimney, ensures functionality. Additionally, a utility area attached to the kitchen enhances practicality. The property boasts elegant marble flooring throughout, contributing to a sophisticated interior ambiance.Facilities Offering covered parking solely for bikes, this property ensures convenience and security. Residents benefit from continuous 24-hour water supply and a reliable 100% power backup system, guaranteeing a comfortable and uninterrupted living experience.Locality Conveniently situated in the vicinity are schools, hospitals, and malls or supermarkets, ensuring easy access to essential amenities. Public transportation, including buses and autos, is readily available, simplifying commuting for residents. Nearby banks and ATMs offer hassle-free financial services. While the railway station is approximately 3-4 kilometers away, there's an upcoming metro station in proximity. Additionally, the main road is conveniently accessible from this location, adding to the area's connectivity.Read more", 45 Lac," 5,114 per sqft"
8 BHK  House for Sale in Kodambakkam Chennai,N/a,"Unlock an investment opportunity in the heart of Kodambakkam, Chennai! We present a lucrative chance to own an 8 BHK Residential House for Sale. This strategically designed building, featuring multiple units, offers not just a home but a potential source of rental income. Explore the prospect of a smart investment in this prime location.Property SpecificationsBuilt over a carpet area of 800 sqft, this residential house spans over G+2 floors and is Vaastu compliant with a favorable south-facing orientation. The house is unfurnished, so potential buyers will have complete liberty of personalising it according to their tastes and needs.Heading to the floor plan, the ground floor comprises three bedrooms, two bathrooms (1 Indian and 1 Western), a living room, a kitchen, a pooja room, and a convenient store room. Moreover, one of the bathrooms here is ensuite with a bedroom and the other is commonly accessible.Moving on, the first floor offers three units of 2 BHK with four common bathrooms, while the second floor features three units of 2 BHK and two common bathrooms. The house features normal kitchens with a piped gas connection and includes a utility area for added convenience. The flooring is adorned with classic mosaic, adding a touch of elegance.FacilitiesThis residential house is well-supported by round the clock water supply and power backup. Placing vehicles will not be a concern as open parking is available for the same.LocalityThis property is strategically located with essential amenities within easy reach. Schools, hospitals, and malls/supermarkets are all nearby, ensuring convenient access to education, healthcare, and shopping. The proximity of banks/ATMs adds to financial convenience, and public transport options, including buses and autos, are readily available. The property is conveniently located near both the railway station and metro station, enhancing connectivity for residents.Read more", 1.37 Cr," 15,152 per sqft"
