Place,Developer,Summary,Price,Sqft
3 BHK Apartment for Sale in T Nagar Chennai,N/a,Prime location in T Nagar. Close to upcoming metro rail and MRTS. Close to all major amenities.Read more, 53.2 Lac," 6,500 per sqft"
2 BHK Apartment for Sale in Padur Chennai,Urbanise Revolution One,"Urbanrise, South Indias leading Real estate Developer brings home, Style, Class, Comfort and Quality with Manhattan Condos, at its prestigious project Revolution One at Padur, Homes that give a new Paradigm to Living with its many classic features. NewYorkStyle Condos in Revolution One apartments are Constructed with the latest Mivan Technology to offer strength, durability, and finest finish to the buildings which retain their shine and sheer for decades that make them ideal for the Next Gen Home Owners.Read more", 49.2 Lac," 5,555 per sqft"
2 BHK Villa for Sale in Guduvancheri Chennai,N/a,The north facing Villa and Plots, 1.53 Cr," 14,500 per sqft"
2 BHK Apartment for Sale in Porur Chennai,N/a,"TVS Emerald Peninsula is the latest residential housing project by TVS Emerald, part of the reputed TVS Group. It is spread over 6.2 acres. The development offers 392 spacious, 2 and 3 BHK apartments across 10 blocks in a Basement  Stilt  7 Floors configuration. TVS Emerald Peninsula has located in Manapakkam just 7 km from the iconic Kathipara flyover. It is surrounded by major IT Parks, Schools, Hospitals and Entertainment hubs.Read more", 70 Lac," 6,131 per sqft"
2 BHK Apartment for Sale in Ramapuram Chennai,Voora Westside,"Flat for sale in Ramapuram, 2BHK, 1102 Sqft, North Facing, Lift Available, Covered car parking, All kind of amenities, Portable water facility, Located in good location..Read more", 2.65 Cr," 16,562 per sqft"
3 BHK Builder Floor for Sale in Kodambakkam Chennai,MF Ram,"3 BHK Flat for Resale in Kodambakkam, East facing apartment. Super deluxe with 2 balconies and 2 bathrooms and one utility. Completely Vaastu complaint with covered car parking space allotted. Very neat environment with security and staff to maintain the premises. Semi furnished house with ample ventilationRead more", 46 Lac," 5,913 per sqft"
2 BHK Apartment for Sale in Medavakkam Chennai,Whitefield Mudra Phase A,"Whitefield Mudra brings you premium lifestyle projects comprising 2,3 & 4 BHK homes in a total of 253 units spread across 3.41acres.Whitefield is well designed with a classic European architecture that offers an exquisite ornate exterior.The inspiring factors in whitefield are the bold elevations, beautiful pillars, elegant design of balcony, lightings & texture paintings & much more inside the homes as well.Read more", 33 Lac," 4,044 per sqft"
3 BHK Builder Floor for Sale in Thoraipakkam Chennai,N/a,"East facing flat with proper vastu.  Lift, covered car parking.The major roads connecting Perungudito the other prominent areas of the city are Rajiv Gandhi IT Expressway, Inner Ring Road, East Coast Road and Old Mahabalipuram Road. The nearby railway stations are Tambaram railway station 17.6 km and Guindy railway station 8.9 km. The Chennai International Airport is located 15.7 km away from this area. Nearest metro station from the locality are Alandur and St Thomas Mount metro station.Read more", 57.5 Lac," 6,686 per sqft"
3 BHK Apartment for Sale in New Perungalathur Chennai,Isha Shubham,"Our project is located at a place where there is abundant open space to experience a serene atmosphere. Since it is in close proximity to Tambaram Airforce Station, Vandalur Zoo and Reserve Forest, the location can never be filled with concrete buildings, making it one of the spacious and a source for unpolluted drinking water. When there are fewer buildings around the location, water consumption will also decrease. So, whoever is looking for clean drinking water and 24*7 water availability, Isha Shubham will be an apt choice for you. The 24 hours availability of water helps the suburb, Perungalathur, a suitable location for people longing to buy apartments for first-time or budget apartments in Chennai.Read more", 1.10 Cr," 9,982 per sqft"
3 BHK Builder Floor for Sale in Medavakkam Chennai,Sastha Sapphire,"Sri Sastha Properties has lauched Sastha Sapphire in Medavakkam, Chennai. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 1099.0 - 1325.0 sq.ft.. There are 6 units in Sri Sastha Properties. The possession date of Sri Sastha Properties is Apr, 2023. The address of Sri Sastha Properties is Plot no 19, 1st cross street, Vignarajapuram , Medavakkam , Chennai - 100Read more", 2.10 Cr," 14,393 per sqft"
2 BHK Apartment for Sale in Madhavaram Chennai,Sidharth Crown,". A home fit for your little princess, it is aptly named Sidharth Crown, we have incorporated a lot of safety and educational features keeping your childrens well being in mind. There are also amenities like gymnasium, walking track, barbeque designed for the use of adults and seniors so that the requirements of all family members are taken care of.residential project in the locality of Madhavaram complete with all modern amenities in a pollutionfree and safe environmentRead more", 70.5 Lac," 5,999 per sqft"
3 BHK Builder Floor for Sale in Kilpauk Chennai,Halls Road,This property is located in kilpauk halls road near new avadi road and this price is whit out registration fee and To all inclusive price call for more detailsRead more, 83.7 Lac," 7,000 per sqft"
3 BHK Builder Floor for Sale in Madipakkam Chennai,Vestas Charm,"For those looking to buy a residential property, here comes one of the choicest offerings in Chennai South, at Madipakkam. Brought to you by Vesta Builders, Vestas Charm is among the newest addresses for homebuyers. This is an under-construction project right now, and is expected to be delivered by Dec, 2024. It has a variety of options to choose from that too in a varied budget range. Read more", 98.7 Lac," 6,584 per sqft"
3 BHK Villa for Sale in Manapakkam Chennai,N/a,"3 BHK Duplex Row villa at Manapakkam  Property located bang on Manapakkam Main Road LIFT PROVISION ,DUAL CAR PARK PRIVATE GARDEN SPACERead more", 73.6 Lac," 5,600 per sqft"
3 BHK Apartment for Sale in Chetpet Chennai,N/a,under construction 3bhk for sale at chetpet mcnicolus road with 1 car parkingRead more, 67.5 Lac," 6,515 per sqft"
2 BHK Apartment for Sale in Kil Ayanambakkam Chennai,N/a,"Nice location, affordable price", 2.80 Cr," 15,954 per sqft"
2 BHK Apartment for Sale in Ambattur Chennai,N/a,park facing balcony, 1.16 Cr," 7,500 per sqft"
2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,Guru Brindavan Garden,prime location with easy access to main road and city, 1.50 Cr," 7,500 per sqft"
2 BHK Apartment for Sale in Perumbakkam Chennai,KG House of Champions,A 2bhk Ready to move in KG Earth Homes with 801Sqft, 1.75 Cr," 14,034 per sqft"
2 BHK Apartment for Sale in Medavakkam Chennai,Pearl Queens Park,"Pearl Queens Park is a well-planned project that is ideally positioned in Medavakkam, Chennai. The Residential complex is equipped with top-of-the-line amenities that are ideal for people of all ages. All the units of this project are well designed and spacious. The different types of units available are Flat, which have been designed to offer complete satisfaction. This mesmerizing property is available in sizes from 2BHK, 2.5 BHK, 3 BHK.Read more", 42.5 Lac," 5,300 per sqft"
3 BHK Apartment for Sale in Mogappair Chennai,N/a,"Brand new flats for sale, each floor 2 flats, east facing, vastu, covered car parking, automatic lift, biometric door,Read more", 61 Lac," 6,778 per sqft"
2 BHK Apartment for Sale in Sholinganallur Chennai,Nexterra,"PS Srijan Tera is 8 Acres gated community property developing at perumbakkam. This construction is of stilt + 4 apartments, coming up with 10 blocks comprised with 528 units with covered car parking.Read more", 76.5 Lac," 7,574 per sqft"
6 BHK Apartment for Sale in Vepery Chennai,Swapnalok,"Shree Realty , RERA Registered and CRISIL verified Realtors, proudly presents you with a 6 BHK apartment in the heart of the city in Vepery on EVK Sampath Road. It is very reasonably priced with only 3.5 Cr. It is fully ventilated with Air and Sunlight. It has Power Back up also.Read more", 46 Lac," 5,743 per sqft"
3 BHK Builder Floor for Sale in Kuberan Nagar Extention Chennai,N/a,Premium 3 BHK at Madipakkam near 200 feet Radial Road  Velachery Tambaram Road. Backside of Kamatchi Hospital. Only 6 Units in the Apartment with NO door to door facing of Flats. 3 Bed Rooms  3 Bath Rooms3. Pooja Shelf or Room. Hall with Dinning. Balcony attached to Hall.  Dining Space. Covered CAR Parking. Automatic Lift. High Quality Construction with A Grade Cement  BRICKS. 30 Feet Wide Road. Elegantly Designed  as per Vaastu Compliant. The Locality has Sewage  Metro water work completed  expected for connection. Close to Dr.Kamatchi Hospital on 200 Feet Radial RoadRead more, 61.6 Lac," 5,300 per sqft"
2 BHK  House for Sale in Veppambaattu Chennai,N/a,"East facing Individual house , Good infrastructure and Bore Well Connection availableRead more", 1.22 Cr," 8,299 per sqft"
